दहावा	दहावा
अकरावा	अकरावा
बारावा	बारावा
तेरावा	तेरावा
चौदावा	चौदावा
पंधरावा	पंधरावा
सोळावा	सोळावा
सतरावा	सतरावा
अठरावा	अठरावा
एकोणीसावा	एकोणीसवा
विसावा	वीसवा
एकविसावा	एकवीसवा
बाविसावा	बावीसवा
तेविसावा	तेवीसवा
चोविसावा	चोवीसवा
पंचविसावा	पंचवीसवा
सव्विसावा	सव्वीसवा
सत्ताविसावा	सत्तावीसवा
अठ्ठाविसावा	अठ्ठावीसवा
एकोणतीसावा	एकोणतीसवा
तीसावा	तीसवा
एकतीसावा	एकतीसवा
बत्तीसावा	बत्तीसवा
तेहतीसावा	तेहतीसवा
चौतीसावा	चौतीसवा
पस्तीसावा	पस्तीसवा
छत्तीसावा	छत्तीसवा
सदतीसावा	सदतीसवा
अडतीसावा	अडतीसवा
एकोणचाळीसावा	एकोणचाळीसवा
चाळीसावा	चाळीसवा
एक्केचाळीसावा	एक्केचाळीसवा
बेचाळीसावा	बेचाळीसवा
त्रेचाळीसावा	त्रेचाळीसवा
चव्वेचाळीसावा	चव्वेचाळीसवा
पंचेचाळीसावा	पंचेचाळीसवा
शेहेचाळीसावा	शेहेचाळीसवा
सत्तेचाळीसावा	सत्तेचाळीसवा
अठ्ठेचाळीसावा	अठ्ठेचाळीसवा
एकोणपन्नासावा	एकोणपन्नासवा
पन्नासावा	पन्नासवा
एक्कावन्नावा	एक्कावन्नवा
बावन्नावा	बावन्नवा
त्रेपन्नावा	त्रेपन्नवा
चौपन्नावा	चौपन्नवा
पंचावन्नावा	पंचावन्नवा
छप्पन्नावा	छप्पन्नवा
सत्तावन्नावा	सत्तावन्नवा
अठ्ठावन्नावा	अठ्ठावन्नवा
एकोणसाठावा	एकोणसाठवा
साठावा	साठवा
एकसष्ठावा	एकसष्ठवा
बासष्ठावा	बासष्ठवा
त्रेसष्ठावा	त्रेसष्ठवा
चौसष्ठावा	चौसष्ठवा
पासष्ठावा	पासष्ठवा
सहासष्ठावा	सहासष्ठवा
सदुसष्ठावा	सदुसष्ठवा
अडुसष्ठावा	अडुसष्ठवा
एकोणसत्तरावा	एकोणसत्तरवा
सत्तरावा	सत्तरवा
एक्काहत्तरावा	एक्काहत्तरवा
बाहत्तरावा	बाहत्तरवा
त्र्याहत्तरावा	त्र्याहत्तरवा
चौऱ्याहत्तरावा	चौऱ्याहत्तरवा
पंच्याहत्तरावा	पंच्याहत्तरवा
शहात्तरावा	शहात्तरवा
सत्त्याहत्तरावा	सत्त्याहत्तरवा
अठ्ठ्याहत्तरावा	अठ्ठ्याहत्तरवा
एकोणऐंशीवा	एकोणऐंशीवा
ऐंशीवा	ऐंशीवा
एक्क्याऐंशीवा	एक्क्याऐंशीवा
ब्याऐंशीवा	ब्याऐंशीवा
त्र्याऐंशीवा	त्र्याऐंशीवा
चौऱ्याऐंशीवा	चौऱ्याऐंशीवा
पंच्याऐंशीवा	पंच्याऐंशीवा
शहाऐंशीवा	शहाऐंशीवा
सत्त्याऐंशीवा	सत्त्याऐंशीवा
अठ्ठ्याऐंशीवा	अठ्ठ्याऐंशीवा
एकोणनव्वदावा	एकोणनव्वदवा
नव्वदावा	नव्वदवा
